prediction_source,cod_linha,hour,pred_atraso_aproximado_min,real_atraso_aproximado_min,n_registros
llama_3_3_70b_v2_retry2,622,21,1.2769266139136097,4.033547008547009,13
llama_3_3_70b_v2_retry2,806,20,1.2745921007534933,1.160050125313283,19
llama_3_3_70b_v2_retry2,382,23,1.2741081222057289,3.9548611111111107,6
llama_3_3_70b_v2_retry2,210,22,1.273487729338709,1.4817129629629628,12
llama_3_3_70b_v2_retry2,110,20,1.2709511618580944,0.9289305555555556,20
llama_3_3_70b_v2_retry2,349,21,1.26975715902225,5.903141534391534,12
llama_3_3_70b_v2_retry2,656,23,1.2695107445079488,6.695833333333333,8
llama_3_3_70b_v2_retry2,500,22,1.268395971536231,0.39540517961570587,19
llama_3_3_70b_v2_retry2,804,21,1.2680490450506345,0.8697570947570946,12
llama_3_3_70b_v2_retry2,810,23,1.2677142344285355,0.41446969696969677,10
llama_3_3_70b_v2_retry2,532,20,1.2654639885595755,1.6648726851851852,8
llama_3_3_70b_v2_retry2,366,21,1.2646812519940647,1.025337322320081,29
llama_3_3_70b_v2_retry2,500,21,1.2630450071248367,0.5092282879563581,18
llama_3_3_70b_v2_retry2,108,22,1.2585117897773017,6.807196969696969,11
llama_3_3_70b_v2_retry2,616,23,1.257902371307966,0.8886111111111109,10
llama_3_3_70b_v2_retry2,815,21,1.2567811013139325,0.43257513962375077,36
llama_3_3_70b_v2_retry2,21,22,1.2555226803274826,5.335739750445632,17
llama_3_3_70b_v2_retry2,110,22,1.2549041892022106,0.41174603174603164,21
llama_3_3_70b_v2_retry2,498,20,1.2469935681878292,0.5368959435626102,18
llama_3_3_70b_v2_retry2,366,22,1.2457853656263673,0.7912828282828283,20
llama_3_3_70b_v2_retry2,498,22,1.243359048421598,1.0109567901234568,9
llama_3_3_70b_v2_retry2,405,21,1.2431174742515585,2.0455563822751324,24
llama_3_3_70b_v2_retry2,353,19,1.2419796227913271,2.4952628968253965,16
llama_3_3_70b_v2_retry2,303,22,1.2412062001363686,1.148989898989899,11
llama_3_3_70b_v2_retry2,628,20,1.2399171607219164,0.30484432234432235,13
llama_3_3_70b_v2_retry2,18,22,1.2380113003503002,2.605324074074074,6
llama_3_3_70b_v2_retry2,376,20,1.234647026858114,1.2759166666666666,20
llama_3_3_70b_v2_retry2,635,21,1.2323674192074892,1.3387527233115468,9
llama_3_3_70b_v2_retry2,622,19,1.231841527797015,0.4759670781893004,27
llama_3_3_70b_v2_retry2,152,18,1.2308156618750123,0.6300925925925925,9
llama_3_3_70b_v2_retry2,641,21,1.2288294095524104,0.8484307359307361,11
llama_3_3_70b_v2_retry2,507,22,1.226140330492848,0.7843434343434342,11
llama_3_3_70b_v2_retry2,551,23,1.2254680847823782,0.516025462962963,15
llama_3_3_70b_v2_retry2,660,23,1.2242113096169178,0.4806547619047619,14
llama_3_3_70b_v2_retry2,110,21,1.2238259423081643,2.6135281385281384,22
llama_3_3_70b_v2_retry2,337,23,1.223475349548624,1.203661616161616,11
llama_3_3_70b_v2_retry2,635,20,1.2228847837074033,4.8879166666666665,10
llama_3_3_70b_v2_retry2,354,23,1.220921421691515,1.7476190476190474,7
llama_3_3_70b_v2_retry2,621,19,1.220012329326834,1.732253086419753,18
llama_3_3_70b_v2_retry2,804,19,1.216964048546688,0.39533749726057416,26
llama_3_3_70b_v2_retry2,613,21,1.21571287692186,1.7529020467836254,19
llama_3_3_70b_v2_retry2,359,21,1.214513422602843,1.2290756302521009,17
llama_3_3_70b_v2_retry2,920,23,1.2114637761259095,0.4438802889576885,19
llama_3_3_70b_v2_retry2,122,20,1.210153044855093,0.9493481481481482,25
llama_3_3_70b_v2_retry2,313,19,1.2095341646899063,2.879754818594104,14
llama_3_3_70b_v2_retry2,806,22,1.209169761988392,1.747983134920635,20
llama_3_3_70b_v2_retry2,349,22,1.207997839257753,4.756711855396065,15
llama_3_3_70b_v2_retry2,60,22,1.2076987113413444,0.5805097316298189,36
llama_3_3_70b_v2_retry2,334,19,1.2071304312008084,0.6992063492063492,19
llama_3_3_70b_v2_retry2,603,21,1.205782183596105,0.7481841563786007,27
llama_3_3_70b_v2_retry2,345,22,1.2030057166191765,1.4828172695360193,16
llama_3_3_70b_v2_retry2,146,17,1.2010059558653727,0.19739583333333321,8
llama_3_3_70b_v2_retry2,745,22,1.2001812516717272,0.7193562610229276,9
llama_3_3_70b_v2_retry2,631,21,1.199227455344443,0.8533333333333334,11
llama_3_3_70b_v2_retry2,211,22,1.1962399369360988,0.6268614718614719,21
llama_3_3_70b_v2_retry2,122,21,1.1954257866978741,0.47147156084656094,24
llama_3_3_70b_v2_retry2,381,20,1.1947012333841627,1.496475068141735,18
llama_3_3_70b_v2_retry2,340,22,1.1946294008076896,1.4221996753246753,11
llama_3_3_70b_v2_retry2,433,19,1.194597196099287,2.9538961038961045,11
llama_3_3_70b_v2_retry2,353,20,1.1915620093488315,0.8134920634920634,13
llama_3_3_70b_v2_retry2,815,20,1.1896753221236802,0.7896390296695175,41
llama_3_3_70b_v2_retry2,366,23,1.1891239472785944,0.29325163398692805,17
llama_3_3_70b_v2_retry2,211,20,1.187777967970355,1.2348342447026657,19
llama_3_3_70b_v2_retry2,382,22,1.1875749068128798,5.783712121212122,11
llama_3_3_70b_v2_retry2,507,23,1.185965641054932,0.4219135802469136,9
llama_3_3_70b_v2_retry2,699,21,1.185311480936194,7.85,8
llama_3_3_70b_v2_retry2,334,21,1.1852483211808582,1.448611111111111,11
llama_3_3_70b_v2_retry2,4,23,1.1848796629476708,1.1965192743764173,14
llama_3_3_70b_v2_retry2,600,21,1.1826020076448998,0.9250119047619048,20
llama_3_3_70b_v2_retry2,114,22,1.1818618318197598,0.7554172399954133,12
llama_3_3_70b_v2_retry2,815,22,1.1815380243784,0.6223554421768708,28
llama_3_3_70b_v2_retry2,386,22,1.1808187329434836,0.2151388888888889,10
llama_3_3_70b_v2_retry2,617,19,1.1801356043247382,1.4783055555555555,15
llama_3_3_70b_v2_retry2,825,22,1.1792812602462341,5.521944444444444,6
llama_3_3_70b_v2_retry2,832,19,1.178913903916121,0.27550986050986054,42
llama_3_3_70b_v2_retry2,701,19,1.1739827345308176,1.3131944444444443,6
llama_3_3_70b_v2_retry2,21,21,1.170379486809343,1.7463541666666667,24
